popularity,original_title,runtime,genres,release_year,budget_adj,revenue_adj,profit
3,Steve Jobs,122,History|Drama,2015,27599987,31686509,4086522
3,The Man from U.N.C.L.E.,116,Comedy|Action|Adventure,2015,68999969,99493456,30493487
3,The Age of Adaline,112,Fantasy|Drama|Romance,2015,22999989,39219376,16219387
3,Hardcore Henry,97,Action|Adventure|Science Fiction,2015,9199995,13187081,3987086
2,Home,94,Fantasy|Comedy|Animation|Science Fiction|Family,2015,124199945,339361177,215161232
2,Paper Towns,109,Drama|Mystery|Romance,2015,11039995,78671281,67631286
2,The Lobster,118,Thriller|Comedy|Drama|Romance|Science Fiction,2015,3679998,8339346,4659348
2,Carol,118,Romance|Drama,2015,10855995,37050347,26194352
2,The Intern,121,Comedy,2015,32199985,178999419,146799434
2,Everest,121,Adventure|Drama,2015,50599977,187153294,136553317
2,Joy,124,Comedy|Drama,2015,55199975,93043293,37843318
2,Point Break,114,Action|Crime|Thriller,2015,96599957,123021160,26421203
2,Burnt,100,Drama,2015,18399991,33678188,15278197
2,Self/less,116,Science Fiction|Mystery|Thriller,2015,23919989,28081355,4161366
2,Mortdecai,106,Comedy|Adventure,2015,55199975,27985062,-27214913
2,The Danish Girl,120,Drama,2015,13799993,59056175,45256182
2,Blackhat,133,Mystery|Crime|Action|Thriller|Drama,2015,64399971,16332697,-48067274
2,Sicario,121,Action|Crime|Drama|Mystery|Thriller,2015,27599987,77303716,49703729
2,Fantastic Four,100,Action|Adventure|Science Fiction,2015,110399952,154539320,44139368
2,The Witch,92,Mystery|Horror,2015,3219998,37190013,33970015
2,Spy,120,Action|Comedy|Crime,2015,59799973,216812826,157012853
2,Focus,105,Romance|Comedy|Crime|Drama,2015,46091979,141645863,95553884
2,Hitman: Agent 47,96,Action|Crime|Thriller,2015,32199985,75759810,43559825
2,In the Heart of the Sea,122,Thriller|Drama|Adventure|Action|History,2015,91999959,86315059,-5684900
2,Creed,133,Drama,2015,32199985,126900665,94700680
2,Trainwreck,125,Comedy,2015,32199985,129532072,97332087
2,Eye in the Sky,102,Drama|Thriller|War,2015,11959994,30220316,18260322
2,Legend,131,Crime|Thriller,2015,22999989,39535137,16535148
2,Pan,111,Adventure|Family|Fantasy,2015,137999939,118117202,-19882737
2,The Peanuts Movie,88,Adventure|Animation|Comedy|Family,2015,91079959,226534364,135454405
2,Concussion,123,Drama,2015,32199985,44733666,12533681
2,The Night Before,100,Comedy,2015,22999989,48204295,25204306
2,Knock Knock,99,Drama|Horror|Thriller,2015,2299998,4796917,2496919
2,The Longest Ride,128,Romance|Drama,2015,31279986,57972193,26692207
2,Hotel Transylvania 2,89,Animation|Comedy|Family,2015,73599967,428888671,355288704
2,Love the Coopers,107,Family|Comedy,2015,15639993,22079990,6439997
2,The Walk,123,Adventure|Drama|Thriller,2015,32199985,56287361,24087376
2,Tracers,94,Action|Crime|Drama,2015,10119995,1714249,-8405746
2,Vacation,99,Adventure|Comedy,2015,28519987,96033410,67513423
1,Poltergeist,93,Horror|Thriller,2015,32199985,87802915,55602930
1,Maggie,95,Horror,2015,3679998,172142,-3507856
1,Child 44,137,Crime|Thriller,2015,45999979,3058382,-42941597
1,The Gift,108,Thriller|Mystery,2015,4599997,54260336,49660339
1,Daddy's Home,96,Comedy,2015,45999979,221131463,175131484
1,The Little Prince,92,Adventure|Animation|Fantasy,2015,58879974,89765510,30885536
1,The Dressmaker,118,Drama,2015,10975595,16872792,5897197
1,The DUFF,100,Romance|Comedy,2015,7819996,40046325,32226329
1,Sinister 2,97,Horror,2015,9199995,48651435,39451440
1,Paul Blart: Mall Cop 2,94,Action|Adventure|Comedy|Family,2015,27599987,98989419,71389432
1,The Boy Next Door,91,Thriller,2015,3679998,46150034,42470036
1,Entourage,104,Comedy,2015,27599987,45322311,17722324
1,The Wedding Ringer,101,Comedy,2015,21159990,73415857,52255867
1,Scouts Guide to the Zombie Apocalypse,93,Comedy|Horror,2015,13799993,13671898,-128095
1,The Visit,94,Horror|Thriller,2015,4599997,90574017,85974020
1,Black Mass,122,Crime|Drama,2015,48759978,91793583,43033605
1,Heist,93,Crime|Action|Thriller,2015,8187996,46125,-8141871
1,Krampus,98,Horror|Comedy|Fantasy,2015,13799993,56624785,42824792
1,Dark Places,113,Drama|Mystery|Thriller,2015,18399991,191900,-18208091
1,No Escape,103,Action|Thriller,2015,4599997,50065340,45465343
1,Dope,103,Crime|Drama|Comedy,2015,643999,16547831,15903832
1,American Ultra,96,Comedy|Action,2015,25759988,25951426,191438
1,Woman in Gold,120,Drama,2015,10119995,56690166,46570171
1,Sisters,118,Comedy,2015,27599987,96610126,69010139
1,Project Almanac,106,Science Fiction|Thriller,2015,11039995,29668368,18628373
1,The Transporter Refueled,96,Thriller|Action|Crime,2015,22999989,66819267,43819278
1,Crimson Peak,119,Mystery|Thriller|Fantasy|Horror|Drama,2015,50599977,68705406,18105429
1,Magic Mike XXL,115,Comedy|Drama|Music,2015,13615994,112619962,99003968
1,Paranormal Activity: The Ghost Dimension,88,Horror|Thriller,2015,9199995,71851557,62651562
1,Trumbo,124,Drama,2015,13799993,7576804,-6223189
1,Secret in Their Eyes,111,Crime|Drama|Mystery,2015,17939992,29614535,11674543
1,The SpongeBob Movie: Sponge Out of Water,93,Family|Animation,2015,68079970,286666383,218586413
1,Max,111,Adventure|Drama|Family,2015,18399991,40449856,22049865
1,The Gunman,115,Action|Drama|Crime,2015,36799983,9811564,-26988419
1,Unfriended,82,Horror|Thriller,2015,919999,57851497,56931498
1,Hot Pursuit,87,Action|Crime|Comedy,2015,32199985,47545764,15345779
1,Insidious: Chapter 3,97,Drama|Horror|Thriller,2015,9199995,95959500,86759505
1,The Lady in the Van,104,Comedy|Drama,2015,5519997,38076655,32556658
1,Victor Frankenstein,109,Drama|Science Fiction|Thriller,2015,36799983,31489100,-5310883
1,Anomalisa,90,Animation|Comedy|Drama|Romance,2015,7359996,3458541,-3901455
1,The Diary of a Teenage Girl,102,Drama|Romance,2015,1839999,1358841,-481158
1,Irrational Man,95,Mystery|Drama,2015,10119995,25199786,15079791
0,Ricki and the Flash,100,Comedy|Drama|Music,2015,16559992,38019285,21459293
0,The Perfect Guy,100,Drama|Thriller,2015,11039995,55451294,44411299
0,While We're Young,97,Drama|Comedy,2015,9199995,6980483,-2219512
0,Get Hard,100,Comedy,2015,36799983,97990493,61190510
0,The 33,120,History|Drama,2015,22999989,22910495,-89494
0,Suffragette,106,Drama|History,2015,12879994,14722219,1842225
0,We Are Your Friends,96,Drama|Music|Romance,2015,5519997,10232318,4712321
0,The Second Best Exotic Marigold Hotel,122,Drama|Comedy,2015,9199995,79099969,69899974
0,Little Boy,106,Comedy|Drama|War,2015,18399991,5906690,-12493301
0,Aloha,105,Adventure|Comedy|Romance,2015,34039985,24150007,-9889978
0,Our Brand Is Crisis,108,Drama|Comedy,2015,25759988,6442077,-19317911
0,Freeheld,103,Romance|Drama,2015,6439997,527467,-5912530
0,Love,134,Drama|Romance,2015,2759998,639647,-2120351
0,Truth,121,Drama,2015,8831996,2338228,-6493768
0,Danny Collins,107,Comedy|Drama|Music,2015,9199995,9968887,768892
0,Rock the Kasbah,100,Comedy|Music|War,2015,13799993,2779009,-11020984
0,"Hello, My Name Is Doris",95,Comedy|Drama|Romance,2015,919999,13289393,12369394
0,The Vatican Tapes,91,Thriller|Horror,2015,11959994,1641981,-10318013
0,99 Homes,112,Drama,2015,7359996,1298972,-6061024
0,Hot Tub Time Machine 2,93,Comedy,2015,12879994,11329473,-1550521
0,Manglehorn,97,Drama,2015,3679998,131652,-3548346
0,A Walk in the Woods,104,Drama|Adventure|Comedy,2015,7359996,33111785,25751789
0,The Lazarus Effect,83,Thriller|Horror,2015,3035998,58981843,55945845
0,Unfinished Business,90,Comedy,2015,32199985,13276746,-18923239
0,Lost River,95,Fantasy|Thriller,2015,1839999,41796,-1798203
0,The Gallows,87,Horror|Thriller,2015,91999,39251239,39159240
0,By the Sea,122,Drama|Romance,2015,9199995,3068131,-6131864
0,Black or White,121,Drama,2015,8279996,19845485,11565489
0,I Saw the Light,123,Drama|Music,2015,11959994,1515044,-10444950
0,Jem and the Holograms,119,Drama|Music|Adventure|Fantasy,2015,4599997,2146988,-2453009
0,Beasts of No Nation,137,Drama|War,2015,5519997,83514,-5436483
0,Demonic,83,Thriller|Horror,2015,2759998,3116038,356040
0,The D Train,101,Drama|Comedy,2015,411721,709611,297890
0,Strangerland,111,Drama|Thriller,2015,9199995,16074,-9183921
0,Captive,97,Crime|Drama|Thriller,2015,1839999,2577386,737387
0,90 Minutes in Heaven,121,Drama,2015,4599997,4455281,-144716
0,Grandma,78,Drama|Comedy,2015,551999,6520452,5968453
0,War Room,120,Drama,2015,2759998,62366880,59606882
0,Stonewall,129,Drama,2015,12419994,172660,-12247334
24,Interstellar,169,Adventure|Drama|Science Fiction,2014,151980023,572690645,420710622
14,Guardians of the Galaxy,121,Action|Science Fiction|Adventure,2014,156585478,712291130,555705652
12,Captain America: The Winter Soldier,136,Action|Adventure|Science Fiction,2014,156585478,658365092,501779614
11,John Wick,101,Action|Thriller,2014,18421821,72526614,54104793
10,The Hunger Games: Mockingjay - Part 1,123,Science Fiction|Adventure|Thriller,2014,115136381,692752790,577616409
10,The Hobbit: The Battle of the Five Armies,144,Adventure|Fantasy,2014,230272762,879752289,649479527
8,Big Hero 6,102,Adventure|Family|Animation|Action|Comedy,2014,151980023,600648487,448668464
8,The Imitation Game,113,History|Drama|Thriller|War,2014,12895274,215126072,202230798
7,The Maze Runner,113,Action|Mystery|Science Fiction|Thriller,2014,31317095,320834306,289517211
6,Birdman,119,Drama|Comedy,2014,16579638,95070499,78490861
6,Gone Girl,145,Mystery|Thriller|Drama,2014,56186554,340186892,284000338
6,Fury,135,War|Drama|Action,2014,62634191,195103577,132469386
6,Night at the Museum: Secret of the Tomb,97,Adventure|Comedy|Fantasy|Family,2014,116978563,321851579,204873016
6,Divergent,139,Action|Science Fiction|Thriller,2014,78292739,265963102,187670363
6,X-Men: Days of Future Past,131,Action|Adventure|Fantasy|Science Fiction,2014,230272762,687133923,456861161
5,Lucy,89,Action|Science Fiction,2014,36843642,426796807,389953165
5,Teenage Mutant Ninja Turtles,101,Science Fiction|Action|Adventure|Fantasy|Comedy,2014,115136381,439544649,324408268
5,Sex Tape,97,Comedy,2014,36843642,116121496,79277854
5,Nightcrawler,117,Crime|Drama|Thriller,2014,7829273,35643660,27814387
4,Transformers: Age of Extinction,165,Science Fiction|Action|Adventure,2014,193429120,226127853,32698733
4,The Grand Budapest Hotel,99,Comedy|Drama,2014,27632731,160822790,133190059
4,Whiplash,105,Drama|Music,2014,3039600,12888912,9849312
4,Dawn of the Planet of the Apes,130,Science Fiction|Action|Drama|Thriller,2014,156585478,652316682,495731204
4,The Equalizer,132,Thriller|Action|Crime,2014,50660007,177154121,126494114
4,Horrible Bosses 2,108,Comedy,2014,38685824,98230083,59544259
4,The Amazing Spider-Man 2,142,Action|Adventure|Fantasy,2014,184218210,650030011,465811801
3,Edge of Tomorrow,113,Action|Science Fiction,2014,163954207,341302234,177348027
3,The Interview,112,Action|Comedy,2014,40528006,10413095,-30114911
3,American Sniper,134,War|Action,2014,54160153,499514514,445354361
3,Exodus: Gods and Kings,153,Adventure|Drama|Action,2014,128952747,246881718,117928971
3,Godzilla,123,Action|Science Fiction|Thriller,2014,147374568,487327232,339952664
3,Maleficent,97,Fantasy|Adventure|Action|Family|Romance,2014,165796389,698565012,532768623
3,The November Man,108,Crime|Action|Thriller,2014,13816365,29987149,16170784
3,Ouija,89,Horror,2014,4605455,94439261,89833806
3,How to Train Your Dragon 2,102,Fantasy|Action|Adventure|Animation|Comedy,2014,133558202,561057788,427499586
3,It Follows,100,Thriller|Horror,2014,1842182,12434729,10592547
3,The Expendables 3,127,Action|Adventure|Thriller,2014,82898194,189903685,107005491
3,The Lego Movie,100,Adventure|Fantasy|Animation|Comedy|Action,2014,55265463,432139714,376874251
3,Seventh Son,102,Adventure|Fantasy,2014,87503649,105168898,17665249
3,The Theory of Everything,123,Drama|Romance,2014,13816365,111638022,97821657
3,Let's Be Cops,104,Comedy,2014,15658547,125840630,110182083
3,Dracula Untold,92,Horror|Action|Drama|Fantasy|War,2014,64476373,198522018,134045645
3,Penguins of Madagascar,92,Family|Animation|Adventure|Comedy,2014,121584018,344075490,222491472
2,Into the Woods,125,Fantasy|Comedy|Music,2014,46054552,196102469,150047917
2,300: Rise of an Empire,102,Action|War,2014,101320015,310941963,209621948
2,The Giver,94,Drama|Science Fiction,2014,23027276,61695098,38667822
2,22 Jump Street,112,Crime|Comedy|Action,2014,46054552,173571884,127517332
2,A Walk Among the Tombstones,113,Crime|Drama|Mystery|Thriller,2014,25790549,48985095,23194546
2,Paddington,95,Comedy,2014,50660007,238753457,188093450
2,Cake,102,Drama,2014,6447637,2174033,-4273604
2,Chef,115,Comedy,2014,10132001,42340653,32208652
2,The Purge: Anarchy,104,Horror|Thriller,2014,8289819,100198906,91909087
2,Left Behind,110,Thriller|Action|Science Fiction,2014,14737456,18129765,3392309
2,Boyhood,164,Drama,2014,3684364,40849467,37165103
2,A Most Violent Year,125,Action|Thriller|Crime|Drama,2014,18421821,11059604,-7362217
2,Hercules,99,Action|Adventure,2014,92109105,224193561,132084456
2,Noah,139,Drama|Adventure,2014,115136381,334022131,218885750
2,The Judge,141,Drama,2014,46054552,77113179,31058627
2,Blended,117,Comedy,2014,36843642,113749780,76906138
2,Neighbors,96,Comedy,2014,16579638,246997381,230417743
2,If I Stay,106,Drama,2014,10132001,72650912,62518911
2,Step Up All In,112,Romance|Drama|Music,2014,41449097,79366405,37917308
2,The Fault in Our Stars,125,Romance|Drama,2014,11053092,281072099,270019007
2,Ride Along,99,Action|Comedy,2014,23027276,141846012,118818736
2,Inherent Vice,148,Comedy|Romance|Crime|Drama|Mystery,2014,18421821,10234219,-8187602
2,Jack Ryan: Shadow Recruit,105,Action|Drama|Thriller,2014,55265463,46560330,-8705133
2,Non-Stop,106,Action|Thriller|Mystery,2014,46054552,205227928,159173376
2,Predestination,97,Science Fiction|Thriller,2014,5066000,2763273,-2302727
1,The Drop,106,Drama|Crime,2014,11605747,17186067,5580320
1,RoboCop,102,Science Fiction|Action,2014,110530926,220490244,109959318
1,Transcendence,119,Thriller|Science Fiction|Drama|Mystery,2014,92109105,94908538,2799433
1,The Other Woman,109,Comedy|Romance,2014,36843642,181253395,144409753
1,Mr. Peabody & Sherman,92,Animation|Adventure|Family,2014,133558202,251377196,117818994
1,Sin City: A Dame to Kill For,102,Crime|Thriller,2014,59870918,36298002,-23572916
1,Rio 2,102,Animation|Adventure|Comedy|Family,2014,94872378,460719091,365846713
1,Dumb and Dumber To,110,Comedy,2014,36843642,156435350,119591708
1,The Monuments Men,118,War|Drama|History|Action,2014,64476373,142754407,78278034
1,Unbroken,137,Drama|War,2014,59870918,150545826,90674908
1,Selma,127,History|Drama,2014,18421821,61517744,43095923
1,Mommy,138,Drama,2014,4513346,3218356,-1294990
1,Wild,115,Drama,2014,13816365,48358699,34542334
1,Pompeii,105,Action|Adventure|History|Romance|Drama,2014,119741836,108533660,-11208176
1,The Best of Me,117,Drama|Romance,2014,23948367,33091313,9142946
1,Annie,119,Music|Comedy|Drama|Family,2014,59870918,123262077,63391159
1,The Book of Life,95,Romance|Animation|Adventure|Comedy|Family,2014,46054552,89748446,43693894
1,St. Vincent,102,Comedy,2014,11974183,50510085,38535902
1,Need for Speed,130,Action|Crime|Drama|Thriller,2014,60792009,187237211,126445202
1,The Hundred-Foot Journey,122,Drama,2014,20264003,81867328,61603325
1,The Boxtrolls,97,Animation|Comedy|Family|Fantasy,2014,55265463,99713420,44447957
1,Big Eyes,105,Drama,2014,9210910,26604343,17393433
1,The Prince,93,Thriller|Action,2014,16579638,245550715,228971077
1,The Signal,95,Thriller|Science Fiction,2014,3684364,553479,-3130885
1,Into the Storm,89,Action|Thriller,2014,46054552,147929243,101874691
1,Planes: Fire & Rescue,83,Animation|Comedy|Adventure|Family,2014,46054552,139237453,93182901
1,Sabotage,110,Action|Drama|Thriller|Crime,2014,32238186,16126939,-16111247
1,No Good Deed,84,Thriller,2014,12158401,49582713,37424312
1,Still Alice,99,Drama,2014,4605455,38499379,33893924
1,"As Above, So Below",93,Horror|Thriller,2014,4605455,36935751,32330296
1,Foxcatcher,134,Drama|Thriller,2014,22106185,11141793,-10964392
1,Endless Love,103,Drama|Romance,2014,18421821,31388867,12967046
1,The Rover,100,Crime|Drama,2014,11283365,2114293,-9169072
1,Think Like a Man Too,106,Comedy|Romance,2014,22106185,64643485,42537300
1,Suite Fran̤aise,107,Drama|Romance|War,2014,13816365,8386272,-5430093
1,Walk of Shame,95,Comedy,2014,13816365,54536,-13761829
1,Annabelle,99,Horror,2014,5987091,235130424,229143333
0,"I, Frankenstein",92,Horror|Thriller,2014,59870918,65539857,5668939
0,That Awkward Moment,94,Comedy|Romance,2014,7368728,23993576,16624848
0,Draft Day,109,Drama,2014,24869458,26556109,1686651
0,Brick Mansions,90,Action|Crime|Drama,2014,25790549,63460252,37669703
0,The Babadook,93,Drama|Thriller|Horror,2014,1842182,6149637,4307455
0,Tammy,97,Comedy,2014,18421821,92593075,74171254
0,Winter's Tale,118,Drama|Fantasy|Mystery|Romance,2014,55265463,28369817,-26895646
0,The Guest,99,Mystery|Thriller|Action,2014,4605455,2180370,-2425085
0,The Water Diviner,112,War|Drama,2014,20724548,14295354,-6429194
0,The Green Inferno,100,Horror|Thriller,2014,4605455,6294225,1688770
0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,Family|Comedy,2014,25790549,92711635,66921086
0,This Is Where I Leave You,103,Drama|Comedy,2014,18237602,38037670,19800068
0,The Homesman,122,Western|Drama,2014,14737456,2238241,-12499215
0,Big Game,90,Action|Adventure,2014,7829273,6908182,-921091
0,Jersey Boys,134,Music|Drama,2014,36843642,62032730,25189088
0,About Last Night,100,Comedy|Romance,2014,11513638,45135933,33622295
0,Million Dollar Arm,124,Drama,2014,23027276,35284812,12257536
0,Wish I Was Here,120,Drama|Comedy,2014,5066000,5050617,-15383
0,Infinitely Polar Bear,87,Comedy|Drama,2014,6171310,1317763,-4853547
0,Under the Skin,108,Thriller|Science Fiction|Drama,2014,12250510,4955701,-7294809
0,Veronica Mars,107,Comedy|Drama|Crime,2014,5526546,3210119,-2316427
0,Son of God,138,Drama,2014,20264003,62450032,42186029
0,Barefoot,90,Comedy|Drama|Romance,2014,5526546,13881,-5512665
0,Justice League: War,79,Animation,2014,3223818,4748523,1524705
0,The Zero Theorem,107,Drama|Fantasy|Science Fiction,2014,7829273,709890,-7119383
0,When the Game Stands Tall,115,Drama,2014,13816365,27750597,13934232
0,Decoding Annie Parker,91,Drama,2014,1842182,44571,-1797611
0,The Quiet Ones,98,Horror,2014,184218,16427536,16243318
0,A Most Wanted Man,121,Thriller,2014,13816365,29064894,15248529
0,The Pyramid,89,Horror,2014,5987091,12771328,6784237
0,Clouds of Sils Maria,124,Drama,2014,6079200,1431375,-4647825
0,Kill the Messenger,112,Thriller|Crime|Drama|Mystery,2014,4605455,2257452,-2348003
0,Honeymoon,87,Horror,2014,921091,8582,-912509
0,Locke,85,Drama|Thriller,2014,1842182,4269533,2427351
0,Dolphin Tale 2,107,Family|Drama,2014,33159277,48287768,15128491
0,The Woman in Black 2: Angel of Death,90,Thriller|Horror|Drama,2014,921091,24410131,23489040
0,Muppets Most Wanted,112,Comedy|Adventure|Crime|Family,2014,46054552,74040166,27985614
0,Tusk,102,Comedy|Drama|Horror,2014,2579054,1682561,-896493
0,5 Flights Up,92,Drama,2014,5526546,940361,-4586185
0,Heaven is for Real,99,Drama,2014,11053092,93336884,82283792
0,The Legend of Hercules,99,Action|Adventure,2014,64476373,56443954,-8032419
0,And So It Goes,94,Comedy|Drama|Romance,2014,27632731,23315013,-4317718
0,Life After Beth,90,Romance|Comedy|Horror,2014,2210618,81307,-2129311
0,Miss Julie,120,Drama,2014,5066000,4605455,-460545
0,Song One,86,Drama,2014,5526546,29706,-5496840
0,A Girl Walks Home Alone at Night,99,Horror|Romance,2014,921091,363830,-557261
0,Afflicted,85,Horror|Thriller,2014,292906,111616,-181290
0,Beyond the Lights,116,Drama,2014,6447637,13465178,7017541
0,Moms' Night Out,98,Comedy,2014,4605455,9606709,5001254
0,Earth to Echo,89,Family|Adventure|Science Fiction,2014,11974183,41725424,29751241
0,The Gambler,111,Thriller|Crime|Drama,2014,23027276,36080177,13052901
0,The Grand Seduction,112,Comedy,2014,11697856,3159358,-8538498
0,Joe,118,Drama,2014,3684364,2178810,-1505554
0,Parts Per Billion,139,Science Fiction,2014,460545,13816365,13355820
0,Better Living Through Chemistry,91,Drama|Comedy,2014,4605455,69213,-4536242
0,God's Not Dead,113,Drama,2014,15658547,27438381,11779834
0,Devil's Due,89,Horror,2014,6447637,33559008,27111371
0,My Old Lady,107,Romance|Comedy|Drama,2014,4605455,3697062,-908393
0,Aloft,112,Drama,2014,7368728,48897,-7319831
0,Mrs. Brown's Boys D'Movie,94,Comedy,2014,5434437,21185094,15750657
12,Star Wars,121,Adventure|Action|Science Fiction,1977,39575591,2789712242,2750136651
2,The Spy Who Loved Me,125,Adventure|Action|Thriller,1977,50368934,667167740,616798806
1,The Rescuers,78,Fantasy|Family|Animation|Adventure,1977,4317337,256219102,251901765
1,Annie Hall,93,Comedy|Drama|Romance,1977,14391124,137620251,123229127
1,Close Encounters of the Third Kind,135,Science Fiction|Drama,1977,71955620,1092964989,1021009369
1,A Bridge Too Far,175,Drama|History|War,1977,79151182,182587387,103436205
0,Sinbad and the Eye of the Tiger,113,Action|Adventure|Family|Fantasy|Science Fiction,1977,12592233,57564496,44972263
0,Saturday Night Fever,118,Drama|Music,1977,12592233,853081316,840489083
0,High Anxiety,94,Comedy|Music,1977,12232455,111758008,99525553
0,The Gauntlet,109,Drama|Action|Crime|Thriller,1977,19787795,95034155,75246360
0,Exorcist II: The Heretic,118,Horror|Thriller|Fantasy,1977,50368934,110628679,60259745
0,Airport '77,114,Action|Adventure|Drama|Thriller,1977,21586686,107933431,86346745
0,Eraserhead,89,Science Fiction|Fantasy|Horror|Drama,1977,35977,25184467,25148490
0,Orca: The Killer Whale,92,Drama|Adventure|Horror,1977,21586686,52951615,31364929
0,Sorcerer,121,Action|Thriller|Adventure,1977,79151182,43173372,-35977810
0,The Last Wave,106,Drama|Thriller|Mystery,1977,2914202,4526008,1611806
0,Kingdom of the Spiders,97,Horror|Science Fiction,1977,1798890,61162277,59363387
0,Wizards,80,Animation|Fantasy|Science Fiction,1977,4317337,32380029,28062692
0,The Hills Have Eyes,89,Horror,1977,827489,89944525,89117036
9,Avatar,162,Action|Adventure|Fantasy|Science Fiction,2009,240886902,2827123750,2586236848
6,Inglourious Basterds,153,Drama|Action|Thriller|War,2009,71148030,324364937,253216907
5,Underworld: Rise of the Lycans,92,Fantasy|Action|Adventure|Science Fiction|Thriller,2009,35574015,92825002,57250987
5,Harry Potter and the Half-Blood Prince,153,Adventure|Fantasy|Family,2009,254100108,949276533,695176425
4,Up,96,Animation|Comedy|Family|Adventure,2009,177870076,743337082,565467006
3,Star Trek,127,Science Fiction|Action|Adventure,2009,152460065,392005772,239545707
3,Terminator Salvation,115,Drama|Action|Thriller|Science Fiction,2009,203280086,377443351,174163265
3,District 9,112,Action|Thriller|Science Fiction,2009,30492013,214277144,183785131
3,Sherlock Holmes,128,Adventure|Drama|Action|Comedy|Thriller,2009,91476039,532622976,441146937
3,(500) Days of Summer,95,Comedy|Drama|Romance,2009,7623003,61718613,54095610
3,Ice Age: Dawn of the Dinosaurs,94,Animation|Comedy|Family|Adventure,2009,91476039,901228865,809752826
3,The Hangover,100,Comedy,2009,35574015,466802856,431228841
3,Watchmen,162,Action|Mystery|Science Fiction,2009,132132056,188297310,56165254
2,2012,158,Action|Adventure|Science Fiction,2009,203280086,782276248,578996162
2,9,79,Action|Adventure|Animation|Science Fiction|Thriller,2009,30492013,49222304,18730291
2,Angels & Demons,138,Thriller|Mystery,2009,152460065,362462054,210001989
2,The Princess and the Frog,97,Romance|Family|Animation|Music,2009,106722045,271425431,164703386
2,The Blind Side,129,Drama,2009,29475612,314279459,284803847
2,Zombieland,88,Comedy|Horror,2009,23987050,104070645,80083595
1,The Twilight Saga: New Moon,130,Adventure|Fantasy|Drama|Romance,2009,50820021,721468940,670648919
